"obs";"bio1";"bio2";"bio3";"bio4";"bio5";"bio6";"bio7";"bio8";"bio9";"bio10";"bio11";"bio12";"bio13";"bio14";"bio15";"bio16";"bio17";"bio18";"bio19"
1;101;100;42;4891;240;4;236;45;165;165;42;1301;190;33;48;551;139;139;504
1;62;123;42;5964;231;-58;289;-2;143;143;-3;585;104;8;72;282;33;47;282
1;81;154;43;7056;268;-83;351;169;109;175;-5;600;91;12;45;235;57;192;158
1;103;104;41;5132;253;2;251;45;170;170;40;1925;293;27;56;850;149;149;795
1;77;76;36;4788;199;-11;210;24;140;140;20;1888;277;60;50;792;206;206;710
1;92;176;42;7949;325;-86;411;123;193;199;-5;224;24;8;26;68;33;42;63
1;56;158;39;8210;280;-120;400;42;163;163;-48;586;61;28;23;175;94;94;165
1;122;137;55;3912;263;17;246;79;171;174;75;1172;230;3;86;617;18;30;610
1;101;100;42;4891;240;4;236;45;165;165;42;1301;190;33;48;551;139;139;504
1;108;105;55;3146;213;23;190;74;146;150;70;1605;274;7;74;789;52;65;742
1;99;106;41;5119;250;-3;253;42;165;166;36;1981;317;28;59;909;147;154;848
1;93;103;42;4879;234;-6;240;38;157;157;34;1419;196;38;43;576;167;167;523
1;100;177;47;7011;295;-76;371;187;130;191;12;531;86;14;47;216;51;178;131
1;73;100;40;5197;221;-26;247;16;141;142;12;2122;322;41;55;949;189;200;873
1;33;99;30;7750;221;-108;329;-56;130;133;-62;715;89;41;25;248;130;154;230
1;108;140;44;6248;292;-21;313;36;190;191;36;1234;219;5;79;603;29;39;603
1;70;87;36;5215;205;-31;236;11;137;138;7;1621;236;49;48;688;173;190;630
1;74;100;41;5044;221;-22;243;20;140;142;15;2536;403;37;61;1187;182;196;1102
1;52;98;37;5743;209;-54;263;-10;127;129;-16;2219;369;29;65;1071;147;164;1005
1;72;85;38;4846;206;-17;223;21;135;137;16;2082;345;42;63;971;148;172;903
1;84;154;46;6206;279;-53;332;17;166;166;11;1176;184;7;67;539;52;52;516
1;45;168;43;7239;265;-123;388;-39;134;140;-48;370;47;15;30;131;57;67;119
1;97;110;43;4995;246;-5;251;40;162;162;36;1557;247;28;58;719;133;138;651
1;-17;113;31;7822;172;-187;359;60;-69;82;-116;649;80;38;21;206;125;204;155
1;98;141;44;6282;282;-32;314;27;181;182;27;1166;205;5;78;570;30;39;570
1;71;109;40;5545;234;-32;266;11;145;145;6;2123;355;25;64;1011;136;143;945
1;47;186;43;8130;264;-165;429;146;84;151;-59;549;69;23;26;178;88;148;132
1;59;122;37;7245;248;-81;329;-27;152;152;-33;1005;186;17;71;527;76;76;485
1;56;128;34;8455;261;-112;373;-46;159;163;-54;373;51;18;32;139;59;72;129
1;61;103;38;5829;223;-48;271;-3;138;138;-9;2078;352;25;66;1014;129;145;956
1;63;164;44;6809;278;-88;366;-16;150;154;-21;348;47;16;32;130;54;66;110
1;63;120;32;8398;273;-97;370;-37;164;173;-43;574;73;29;30;208;92;113;187
1;102;161;45;6977;292;-59;351;190;130;195;18;660;92;12;42;230;62;187;196
1;107;98;41;4917;245;9;236;51;172;172;48;1035;156;23;54;465;98;98;421
1;211;176;45;7704;409;26;383;308;245;311;116;184;30;2;51;67;9;51;60
1;80;124;36;7555;283;-61;344;-8;174;179;-14;650;90;23;39;260;84;100;238
1;100;107;44;4881;244;3;241;45;164;164;41;1830;296;30;63;861;124;124;804
1;80;101;40;5268;231;-20;251;22;148;150;17;2633;430;34;64;1253;174;188;1171
1;36;161;40;8006;265;-134;399;-54;135;140;-66;606;82;19;38;233;78;91;221
1;113;123;50;4226;258;16;242;67;168;170;63;1757;312;3;82;909;33;53;877
1;15;115;28;9989;211;-192;403;135;-43;135;-120;525;76;22;42;219;78;219;99
1;29;129;44;5762;197;-93;290;-33;107;107;-34;555;93;15;59;247;51;61;240
1;-13;146;39;7852;180;-191;371;85;2;89;-108;619;67;39;16;180;136;171;155
1;103;112;44;4956;252;1;251;47;168;168;43;1307;210;23;59;608;110;110;550
1;-1;146;42;6999;179;-165;344;86;26;91;-85;922;101;42;23;268;152;233;242
1;154;148;43;6868;355;12;343;78;245;245;72;1457;262;7;78;722;40;40;705
1;67;146;47;5700;252;-55;307;9;142;144;3;1121;184;9;70;539;53;60;511
1;104;134;38;7167;309;-36;345;20;195;199;15;434;56;11;39;165;49;55;148
1;8;151;39;7773;220;-158;378;38;-36;111;-86;531;61;33;19;170;111;145;113
1;92;106;48;4056;222;3;219;48;144;147;44;2588;444;31;68;1254;148;161;1173
1;66;100;39;5426;220;-35;255;8;137;139;3;2170;354;26;62;1013;145;153;956
1;106;103;40;5249;256;2;254;46;173;174;41;1940;303;26;58;873;145;149;819
1;29;87;33;6042;181;-80;261;-37;107;110;-42;1886;310;32;62;897;147;158;834
1;80;128;38;6962;281;-53;334;-2;168;171;-7;724;100;16;47;298;70;78;273
1;34;174;42;8109;238;-170;408;130;73;137;-72;427;62;25;31;157;80;140;85
1;134;154;51;5002;309;11;298;79;199;200;75;1066;221;2;89;572;13;24;571
1;45;80;32;5842;190;-57;247;-19;121;123;-24;2230;360;42;58;1031;186;201;957
1;104;88;39;4752;232;9;223;51;165;165;46;983;158;22;56;443;92;92;406
1;-12;151;39;8015;184;-198;382;87;19;91;-111;622;63;37;15;173;132;161;164
1;71;105;39;5691;231;-36;267;8;146;146;3;2328;393;28;66;1134;145;162;1065
1;38;80;32;5920;183;-65;248;-27;115;118;-31;2191;356;39;60;1023;177;191;950
1;100;125;47;4804;259;-2;261;48;163;165;44;1395;248;10;72;705;62;75;636
1;89;93;40;4953;224;-8;232;32;153;153;29;1672;235;46;46;694;178;191;631
1;-7;156;39;8448;212;-188;400;75;63;103;-113;595;63;38;14;165;131;154;158
1;110;105;51;3609;227;22;205;71;156;158;67;1562;270;10;71;773;66;77;719
1;18;111;33;7428;201;-126;327;-69;113;113;-76;813;131;30;50;364;108;108;335
1;58;86;35;5489;201;-40;241;-2;129;131;-7;2298;348;48;54;1019;208;220;941
1;28;120;31;8289;229;-148;377;-71;-19;132;-79;587;64;31;21;180;111;159;168
1;115;184;46;7832;320;-76;396;210;152;217;16;277;55;10;60;136;31;112;47
1;106;105;43;4954;250;8;242;50;171;171;46;1562;259;25;65;749;102;102;696
1;99;92;42;4546;225;6;219;47;157;157;43;1057;141;36;40;416;134;134;376
1;44;99;34;6444;208;-75;283;-29;127;129;-34;1282;217;22;63;623;104;107;578
1;50;114;33;7723;242;-96;338;-41;148;150;-47;544;89;13;54;250;57;62;228
1;40;118;33;8021;236;-117;353;-56;102;142;-63;369;47;22;24;124;73;89;115
1;-1;156;38;8494;221;-180;401;34;-66;110;-106;430;42;29;10;114;100;107;111
1;90;95;43;4432;217;0;217;41;147;149;37;3269;537;60;61;1481;222;268;1418
1;92;105;39;5772;251;-18;269;27;166;167;21;2265;393;21;69;1115;121;135;1056
1;73;100;40;5197;221;-26;247;16;141;142;12;2122;322;41;55;949;189;200;873
1;75;89;36;5339;212;-30;242;14;143;143;9;1593;229;50;47;665;176;176;609
1;10;123;43;5578;173;-108;281;-36;85;87;-51;723;120;20;61;326;64;72;308
1;38;88;32;6397;194;-76;270;-34;121;122;-39;1723;291;31;62;827;139;149;766
1;16;135;34;8080;212;-176;388;97;-24;116;-87;572;84;31;31;202;100;190;112
1;58;106;30;8157;251;-96;347;-38;59;163;-47;606;75;34;21;196;117;152;183
1;99;85;45;3774;202;15;187;57;145;148;52;2395;370;50;57;1051;182;223;992
1;34;133;44;5827;205;-92;297;-30;113;113;-30;543;91;15;61;244;47;47;244
1;52;145;36;8581;269;-125;394;88;-55;165;-55;295;34;15;23;94;50;82;50
1;95;110;43;5000;245;-6;251;39;160;161;35;1783;284;29;59;829;144;149;756
1;32;168;43;7674;236;-153;389;133;-63;133;-63;494;81;12;53;214;49;214;49
1;99;116;47;4468;244;2;242;49;156;158;45;2089;373;23;70;1032;110;125;971
1;0;124;25;12906;235;-257;492;155;-153;155;-174;450;76;16;53;206;59;206;60
1;111;150;49;5433;292;-10;302;49;181;183;46;1352;243;6;77;692;44;56;655
1;70;163;43;7594;263;-116;379;169;-26;169;-26;485;82;17;52;211;58;211;58
1;134;156;45;6739;339;-7;346;59;223;223;54;1401;252;7;78;700;41;41;681
1;74;150;42;6858;281;-70;351;-3;164;164;-9;449;77;7;57;208;38;46;187
1;44;102;30;7857;232;-102;334;-48;-3;145;-56;621;77;37;21;203;124;154;190
1;104;138;51;4792;265;-5;270;51;166;168;48;1470;260;6;76;743;47;60;700
1;59;118;33;8073;265;-92;357;-37;157;164;-43;685;91;31;34;261;101;122;236
1;92;87;34;5671;232;-18;250;26;164;164;20;1650;234;53;46;682;183;183;624
1;52;98;37;5743;209;-54;263;-10;127;129;-16;2219;369;29;65;1071;147;164;1005
1;-8;157;42;7197;183;-185;368;81;20;85;-95;849;92;38;22;255;146;218;220
1;35;90;34;5904;187;-72;259;-29;112;114;-34;2038;334;33;63;973;152;166;906
1;12;156;41;7716;210;-168;378;113;-84;113;-84;524;75;23;38;196;78;196;78
1;10;123;43;5578;173;-108;281;-36;85;87;-51;723;120;20;61;326;64;72;308
1;43;173;44;7591;250;-142;392;144;-50;144;-50;477;75;12;51;200;47;200;47
1;83;153;46;6070;278;-48;326;17;163;163;12;954;157;8;70;460;48;48;438
1;-16;148;39;7840;178;-198;376;81;13;85;-112;663;68;37;16;181;138;165;175
1;66;120;38;6864;250;-65;315;-14;156;156;-19;673;120;11;67;342;53;53;316
1;62;117;32;8116;267;-89;356;-35;160;167;-41;698;92;33;33;263;105;127;238
1;27;135;44;5927;201;-102;303;-28;107;107;-39;593;97;18;59;262;57;57;261
1;85;155;45;6313;284;-54;338;14;167;169;10;750;122;9;64;346;44;47;334
1;63;84;30;6350;218;-59;277;-10;145;145;-15;1301;196;44;50;563;151;151;504
1;50;89;34;5925;199;-60;259;-17;127;127;-22;1687;262;47;54;760;164;185;693
1;45;80;32;5842;190;-57;247;-19;121;123;-24;2230;360;42;58;1031;186;201;957
1;42;120;43;5572;203;-73;276;-16;117;119;-18;663;120;11;70;317;36;49;314
1;59;106;37;6079;226;-55;281;-9;139;139;-14;1779;304;23;67;877;115;115;824
1;4;102;30;7482;191;-139;330;-80;99;101;-87;824;102;44;27;291;146;167;271
1;113;123;50;4226;258;16;242;67;168;170;63;1757;312;3;82;909;33;53;877
1;44;163;42;7144;261;-120;381;-39;132;137;-48;500;70;18;37;194;69;82;177
1;71;105;39;5691;231;-36;267;8;146;146;3;2328;393;28;66;1134;145;162;1065
1;160;183;47;7479;368;-20;388;254;191;259;68;393;55;8;39;141;42;108;104
1;68;164;43;7015;286;-90;376;-13;155;161;-20;385;47;15;28;133;59;71;117
1;81;153;46;6260;279;-53;332;8;164;164;8;1131;209;5;76;560;37;37;560
1;70;92;38;5193;211;-26;237;12;137;138;8;2193;317;50;50;938;218;225;860
1;87;156;47;6099;269;-57;326;22;144;169;17;609;103;4;69;295;42;54;289
1;-109;77;17;12940;115;-315;430;47;-145;60;-263;180;40;6;64;93;24;86;24
1;130;142;44;6409;313;-8;321;63;215;215;56;460;82;2;79;233;13;22;226
1;104;107;43;4953;248;1;247;47;169;169;44;1053;155;25;51;458;107;107;417
1;96;89;46;3826;204;11;193;53;143;146;49;2825;435;59;57;1231;211;261;1170
1;108;140;44;6248;292;-21;313;36;190;191;36;1234;219;5;79;603;29;39;603
1;101;107;43;4912;247;3;244;46;165;165;42;1580;257;26;63;750;109;109;696
1;58;86;35;5489;201;-40;241;-2;129;131;-7;2298;348;48;54;1019;208;220;941
1;105;122;51;4062;242;7;235;61;156;159;57;1522;264;6;76;760;46;61;718
1;63;85;38;4775;193;-28;221;13;127;127;8;1896;290;54;54;823;181;202;752
1;45;89;31;6306;202;-80;282;-26;127;127;-32;1238;190;43;49;536;149;149;491
1;30;120;43;5540;190;-86;276;-28;104;106;-30;641;112;14;66;297;45;57;291
1;78;92;39;5064;217;-17;234;22;143;145;17;2221;314;53;49;935;226;228;857
1;62;85;33;5735;205;-46;251;-2;138;138;-7;1212;176;49;45;495;158;158;436
1;33;171;42;7860;240;-160;400;136;-66;136;-66;450;76;11;55;198;44;198;44
1;52;123;35;7377;255;-88;343;-32;145;149;-38;893;121;30;40;360;117;133;329
1;-11;140;38;7749;179;-181;360;86;1;91;-105;604;67;38;18;179;128;175;140
1;27;148;37;8418;248;-144;392;-63;132;136;-78;477;48;29;14;132;98;103;131
1;91;122;33;8483;295;-69;364;-12;194;199;-19;272;46;7;53;125;30;36;114
1;76;93;42;4509;207;-12;219;27;134;137;23;3149;517;58;61;1437;214;256;1366
1;4;149;40;7575;196;-171;367;103;-90;103;-90;603;93;23;43;240;83;240;83
1;34;131;44;5863;204;-91;295;-19;112;114;-30;914;155;15;68;425;56;63;406
1;89;93;40;4953;224;-8;232;32;153;153;29;1672;235;46;46;694;178;191;631
1;10;80;25;8308;174;-140;314;66;5;119;-91;532;81;22;41;215;72;159;117
1;55;144;44;6317;241;-83;324;-8;139;139;-18;759;127;13;65;350;52;52;347
1;98;89;48;3587;199;15;184;60;143;146;55;2240;351;40;60;1019;164;180;958
1;139;147;45;6318;329;8;321;65;221;223;65;1113;198;4;80;541;20;32;541
1;131;144;45;6127;316;-2;318;58;211;211;58;1313;263;2;84;685;19;19;685
1;87;128;45;5391;260;-22;282;27;158;159;23;1543;258;16;65;740;91;100;658
1;98;131;38;7115;301;-38;339;14;188;192;10;494;66;13;41;195;54;62;178
1;71;148;39;7873;268;-106;374;167;105;174;-28;405;56;13;36;147;52;121;96
1;105;106;43;4906;249;5;244;50;169;169;45;1371;224;22;64;654;93;93;606
1;63;154;44;6611;256;-89;345;-16;152;152;-16;286;45;13;46;119;42;42;119
1;144;147;44;6521;338;7;331;73;230;230;68;965;159;4;70;452;35;35;437
1;92;106;48;4056;222;3;219;48;144;147;44;2588;444;31;68;1254;148;161;1173
1;42;156;42;6839;252;-113;365;-36;128;131;-45;539;74;19;36;207;73;86;188
1;76;165;42;7887;281;-111;392;180;-22;180;-22;433;75;11;57;194;40;194;40
1;110;122;45;5155;274;4;270;51;176;177;47;1241;221;13;70;617;67;72;581
1;87;142;46;6266;245;-63;308;160;80;168;8;547;116;13;70;287;65;266;96
1;-11;140;38;7749;179;-181;360;86;1;91;-105;604;67;38;18;179;128;175;140
1;94;73;45;3381;184;22;162;59;136;139;54;2520;369;61;54;1065;209;245;1015
1;64;160;45;6878;254;-96;350;151;91;155;-20;590;80;14;38;206;70;170;168
1;114;166;50;5790;312;-18;330;52;191;191;48;1146;213;3;84;599;23;37;582
1;97;155;50;5422;283;-23;306;40;169;170;36;1378;244;4;81;709;34;52;682
1;76;96;37;5666;225;-31;256;11;150;150;7;2044;315;46;56;925;173;173;846
1;54;98;37;5850;211;-52;263;-11;131;132;-15;2104;347;34;62;1005;159;174;930
1;97;109;45;4786;241;1;240;44;160;160;40;1780;284;30;61;828;128;149;771
1;87;158;46;6241;286;-51;337;18;170;170;13;1041;178;8;71;496;46;46;488
1;98;91;40;4682;228;5;223;45;159;159;41;870;139;23;50;371;90;93;340
1;66;100;39;5426;220;-35;255;8;137;139;3;2170;354;26;62;1013;145;153;956
1;129;166;51;5498;322;-2;324;70;202;203;66;1111;220;2;87;591;15;27;580
1;93;97;45;4090;215;4;211;47;145;147;44;3185;494;66;57;1390;232;287;1328
1;99;106;41;5187;250;-3;253;41;166;167;36;2209;359;30;61;1032;157;164;962
1;55;125;36;7276;259;-84;343;-27;148;151;-33;937;129;29;41;377;118;133;347
1;99;106;41;5187;250;-3;253;41;166;167;36;2209;359;30;61;1032;157;164;962
1;116;150;48;5670;309;2;307;50;190;190;49;945;173;7;76;492;37;37;463
1;80;101;40;5268;231;-20;251;22;148;150;17;2633;430;34;64;1253;174;188;1171
1;25;130;44;5858;194;-100;294;-28;103;104;-40;809;135;18;64;370;61;67;351
1;88;86;40;4539;212;-1;213;37;147;147;33;943;157;22;58;439;84;95;404
1;102;168;46;6745;318;-43;361;24;189;192;21;530;94;9;62;257;41;46;241
1;98;131;38;7115;301;-38;339;14;188;192;10;494;66;13;41;195;54;62;178
1;97;176;48;6515;308;-57;365;21;182;182;16;709;113;4;64;321;39;39;315
1;90;102;46;4228;216;-2;218;44;144;147;40;2607;417;42;62;1208;177;199;1131
1;49;90;34;5927;200;-59;259;-18;126;127;-22;2006;321;44;58;931;173;193;855
1;55;91;36;5632;203;-48;251;-8;127;129;-12;2160;337;41;57;986;185;199;911
1;165;144;41;7012;365;22;343;86;257;257;81;1220;231;6;79;609;34;34;605
1;94;107;43;4928;238;-7;245;39;158;158;35;1372;197;32;49;587;144;144;532
1;57;136;44;6071;233;-72;305;-11;138;139;-11;1002;173;11;72;475;47;55;475
1;54;164;48;6276;232;-106;338;131;80;137;-23;667;114;18;53;297;68;251;151
1;63;151;40;7705;260;-111;371;158;96;165;-33;436;62;15;37;161;56;135;103
1;59;143;37;7964;278;-101;379;99;14;164;-41;374;48;23;25;121;74;103;91
1;57;89;36;5387;200;-41;241;-2;126;129;-7;2304;349;46;54;1028;206;219;948
1;53;140;44;6211;234;-81;315;-8;135;136;-19;946;163;13;70;446;53;58;444
1;55;82;38;4754;184;-31;215;6;117;120;2;2131;344;44;59;973;171;189;907
1;49;84;39;4588;178;-35;213;3;109;113;-1;2582;421;52;60;1185;192;221;1113
1;154;137;43;6223;337;21;316;78;234;235;78;885;176;1;83;451;13;20;451
1;18;156;40;8070;228;-160;388;0;98;123;-81;547;54;37;10;147;129;133;136
1;14;166;42;7619;236;-156;392;48;-37;113;-82;464;57;28;22;149;98;128;107
1;102;159;50;5658;295;-23;318;42;177;178;38;1263;224;4;81;652;30;46;630
1;26;172;41;8423;246;-173;419;128;-35;133;-82;423;44;28;13;126;97;120;99
1;86;93;40;4857;221;-8;229;32;149;150;28;1477;245;30;59;677;120;128;625
1;111;164;47;6442;318;-27;345;39;195;195;34;1074;192;6;76;537;38;38;524
1;90;95;43;4432;217;0;217;41;147;149;37;3269;537;60;61;1481;222;268;1418
1;36;150;38;7853;254;-131;385;115;-13;139;-62;426;58;24;29;148;84;126;93
1;104;110;43;5187;255;0;255;45;171;172;41;1364;226;21;61;639;104;113;593
1;78;133;45;5803;249;-45;294;16;156;157;15;830;151;6;77;415;25;38;410
1;121;139;43;6393;303;-15;318;54;207;207;48;629;118;3;80;323;15;15;317
1;110;95;54;2911;207;33;174;82;146;149;77;1994;337;12;70;959;81;96;899
1;91;98;41;4930;232;-4;236;36;155;156;32;2038;341;34;64;963;136;159;901
1;94;88;41;4483;218;4;214;43;152;152;39;722;111;22;47;305;84;84;279
1;78;99;41;4902;222;-15;237;26;142;145;22;2325;375;29;61;1070;159;167;997
1;74;100;41;5044;221;-22;243;20;140;142;15;2536;403;37;61;1187;182;196;1102
1;50;135;43;6141;237;-76;313;-15;132;132;-22;888;152;12;62;423;62;62;385
1;112;142;46;6034;295;-13;308;44;192;193;44;1612;304;4;81;816;33;43;816
1;104;107;43;4953;248;1;247;47;169;169;44;1053;155;25;51;458;107;107;417
1;29;129;44;5762;197;-93;290;-33;107;107;-34;555;93;15;59;247;51;61;240
1;53;102;38;5786;213;-55;268;-10;129;130;-15;1760;289;24;62;826;125;132;779
1;46;158;42;7321;246;-122;368;120;-43;143;-43;469;59;22;33;165;69;159;69
1;78;103;45;4342;212;-12;224;32;134;137;28;2573;434;33;66;1238;154;172;1155
1;131;145;45;6286;318;1;317;58;213;215;58;1161;207;4;80;567;23;33;567
1;105;106;43;4906;249;5;244;50;169;169;45;1371;224;22;64;654;93;93;606
1;58;135;34;8671;270;-116;386;-48;162;166;-56;417;66;18;45;179;59;68;165
1;84;176;48;6940;274;-91;365;169;114;174;-3;477;84;14;54;216;49;180;101
1;81;126;44;5489;254;-30;284;20;153;153;16;1602;264;19;64;763;100;108;684
1;15;97;30;7518;196;-124;320;-72;-32;112;-79;563;65;36;18;173;111;149;161
1;55;144;44;6317;241;-83;324;-8;139;139;-18;759;127;13;65;350;52;52;347
1;58;135;34;8671;270;-116;386;-48;162;166;-56;417;66;18;45;179;59;68;165
1;104;107;43;4953;248;1;247;47;169;169;44;1053;155;25;51;458;107;107;417
1;72;106;40;5558;229;-34;263;10;144;145;5;2183;356;33;62;1035;160;176;963
1;106;83;38;4722;231;14;217;54;168;168;50;988;145;26;49;426;108;108;387
1;-6;148;39;7858;190;-183;373;92;8;96;-102;570;61;37;16;165;126;158;141
1;55;91;36;5632;203;-48;251;-8;127;129;-12;2160;337;41;57;986;185;199;911
1;101;110;44;4968;247;-1;248;44;165;165;41;1211;194;22;60;568;99;99;515
1;86;105;42;5014;233;-13;246;30;151;152;26;1937;299;34;57;883;162;170;808
1;107;98;41;4917;245;9;236;51;172;172;48;1035;156;23;54;465;98;98;421
1;58;99;38;5580;213;-45;258;-2;131;133;-7;2437;401;33;64;1167;165;183;1091
1;64;136;44;6115;240;-66;306;-6;145;146;-6;1124;196;10;74;538;47;55;538
1;122;130;60;3115;239;25;214;88;159;164;87;731;145;2;90;391;8;14;389
1;101;105;43;4929;242;-1;243;45;165;165;42;1055;162;23;54;475;101;101;425
1;34;131;44;5863;204;-91;295;-19;112;114;-30;914;155;15;68;425;56;63;406
1;57;136;44;6071;233;-72;305;-11;138;139;-11;1002;173;11;72;475;47;55;475
1;96;143;46;6022;277;-33;310;32;176;177;29;972;178;5;79;488;24;33;484
1;55;160;41;7784;261;-128;389;150;88;156;-43;568;65;22;24;178;94;148;139
1;97;112;44;4948;250;-4;254;42;162;162;37;1927;302;25;59;868;139;139;800
1;-9;142;39;7771;183;-180;363;88;4;93;-103;593;64;37;17;173;128;167;143
1;126;138;44;6201;307;-2;309;56;208;210;56;1416;257;6;79;699;30;43;699
1;111;176;47;7094;307;-65;372;200;140;204;23;496;83;11;48;202;45;166;125
